State,REI ID,REI,2013 DALYs,2013 Rank,2014 DALYs,2014 Rank,2013-2014 YoY %,2015 DALYs,2015 Rank,2014-2015 YoY %,2016 DALYs,2016 Rank,2015-2016 YoY %,2017 DALYs,2017 Rank,2016-2017 YoY %,2018 DALYs,2018 Rank,2017-2018 YoY %,2019 DALYs,2019 Rank,2018-2019 YoY %,2020 DALYs,2020 Rank,2019-2020 YoY %,2021 DALYs,2021 Rank,2020-2021 YoY %,2022 DALYs,2022 Rank,2021-2022 YoY %,2023 DALYs,2023 Rank,2022-2023 YoY %
Himachal Pradesh,367,High LDL cholesterol,61.68K,22,57.44K,22,-6.88%,55.33K,22,-3.66%,56.75K,22,+2.57%,58.80K,22,+3.61%,61.01K,22,+3.75%,60.29K,22,-1.17%,58.46K,22,-3.04%,73.15K,22,+25.13%,75.89K,22,+3.75%,77.65K,22,+2.31%
Other Union Territories,367,High LDL cholesterol,33.57K,23,35.62K,23,+6.13%,37.18K,23,+4.36%,39.93K,23,+7.41%,41.05K,23,+2.79%,41.64K,23,+1.45%,40.88K,23,-1.82%,43.74K,23,+6.98%,58.53K,23,+33.81%,46.69K,23,-20.23%,48.16K,23,+3.15%
Tripura,367,High LDL cholesterol,27.89K,24,24.68K,24,-11.51%,26.50K,24,+7.41%,32.79K,24,+23.72%,34.08K,24,+3.95%,33.55K,24,-1.58%,32.88K,24,-2.00%,32.89K,24,+0.03%,38.35K,24,+16.61%,38.29K,24,-0.15%,40.47K,24,+5.69%
Goa,367,High LDL cholesterol,22.82K,25,23.62K,25,+3.55%,23.98K,25,+1.49%,24.33K,25,+1.47%,24.17K,25,-0.67%,23.89K,25,-1.15%,22.84K,25,-4.37%,23.10K,25,+1.10%,29.87K,26,+29.34%,24.76K,25,-17.10%,25.16K,26,+1.59%
Manipur,367,High LDL cholesterol,15.86K,26,16.98K,26,+7.07%,17.96K,26,+5.74%,19.57K,26,+8.95%,20.28K,26,+3.63%,21.03K,26,+3.70%,20.68K,26,-1.65%,20.58K,26,-0.47%,31.24K,25,+51.79%,24.38K,26,-21.97%,25.61K,25,+5.06%
Meghalaya,367,High LDL cholesterol,7.77K,27,8.00K,27,+2.88%,8.17K,27,+2.24%,9.16K,27,+12.11%,9.72K,27,+6.11%,10.18K,27,+4.74%,10.11K,27,-0.73%,10.25K,27,+1.37%,16.30K,27,+59.04%,12.03K,27,-26.21%,12.44K,27,+3.48%
Nagaland,367,High LDL cholesterol,7.15K,28,7.37K,28,+3.01%,7.46K,28,+1.30%,7.77K,28,+4.17%,7.91K,28,+1.80%,8.02K,28,+1.34%,7.76K,28,-3.28%,7.80K,28,+0.63%,11.88K,28,+52.26%,8.70K,28,-26.79%,9.00K,28,+3.46%
Sikkim,367,High LDL cholesterol,3.87K,29,3.93K,30,+1.43%,3.84K,30,-2.17%,3.84K,30,+0.03%,3.66K,30,-4.90%,3.41K,30,-6.61%,3.07K,30,-9.98%,2.91K,30,-5.40%,3.69K,30,+27.07%,3.60K,30,-2.41%,3.70K,30,+2.67%
Arunachal Pradesh,367,High LDL cholesterol,3.83K,30,4.02K,29,+4.81%,4.21K,29,+4.68%,4.51K,29,+7.22%,4.67K,29,+3.60%,4.77K,29,+1.99%,4.72K,29,-0.87%,4.81K,29,+1.78%,6.13K,29,+27.42%,5.64K,29,-7.95%,5.82K,29,+3.26%
Mizoram,367,High LDL cholesterol,1.62K,31,1.64K,31,+1.51%,1.75K,31,+6.68%,2.06K,31,+17.68%,2.15K,31,+4.51%,2.19K,31,+1.68%,2.14K,31,-2.36%,2.22K,31,+3.72%,3.06K,31,+37.90%,2.55K,31,-16.59%,2.62K,31,+2.71%
Uttar Pradesh,380,Particulate matter pollution,2.10M,1,2.23M,1,+6.27%,2.26M,1,+1.32%,2.44M,1,+8.08%,2.37M,1,-2.96%,2.33M,1,-1.55%,2.16M,1,-7.57%,1.97M,1,-8.49%,2.25M,1,+14.05%,2.32M,1,+2.94%,2.36M,1,+1.85%
West Bengal,380,Particulate matter pollution,1.38M,2,1.41M,2,+2.63%,1.39M,2,-1.56%,1.44M,2,+3.86%,1.43M,2,-0.64%,1.42M,2,-1.04%,1.36M,2,-4.15%,1.40M,2,+3.02%,1.72M,2,+22.46%,1.39M,2,-19.25%,1.49M,2,+7.21%
Maharashtra,380,Particulate matter pollution,1.25M,3,1.27M,3,+1.41%,1.25M,3,-1.72%,1.21M,3,-2.63%,1.17M,3,-3.25%,1.30M,3,+10.91%,1.01M,3,-22.21%,865.17K,5,-14.52%,1.05M,7,+21.09%,946.20K,4,-9.68%,985.67K,4,+4.17%
Tamil Nadu,380,Particulate matter pollution,1.12M,4,1.10M,4,-1.13%,1.06M,4,-4.04%,1.05M,4,-0.50%,1.00M,4,-4.61%,925.63K,5,-7.82%,819.81K,8,-11.43%,809.88K,8,-1.21%,910.21K,9,+12.39%,768.05K,9,-15.62%,732.17K,9,-4.67%
Karnataka,380,Particulate matter pollution,909.53K,5,932.87K,5,+2.57%,951.02K,5,+1.94%,980.67K,5,+3.12%,967.91K,5,-1.30%,924.29K,6,-4.51%,863.41K,5,-6.59%,895.82K,3,+3.75%,1.11M,4,+23.36%,871.02K,5,-21.18%,870.90K,6,-0.01%
Bihar,380,Particulate matter pollution,875.73K,6,896.84K,6,+2.41%,889.12K,6,-0.86%,961.11K,6,+8.10%,947.03K,6,-1.46%,964.38K,4,+1.83%,933.11K,4,-3.24%,873.49K,4,-6.39%,1.07M,5,+23.05%,967.80K,3,-9.96%,1.02M,3,+5.09%
Madhya Pradesh,380,Particulate matter pollution,815.63K,7,828.75K,7,+1.61%,837.25K,7,+1.03%,882.52K,7,+5.41%,877.27K,7,-0.60%,868.02K,7,-1.05%,845.40K,6,-2.61%,832.09K,6,-1.57%,1.07M,6,+28.46%,856.94K,6,-19.83%,890.54K,5,+3.92%
Andhra Pradesh,380,Particulate matter pollution,809.52K,8,812.62K,8,+0.38%,813.63K,8,+0.12%,838.91K,8,+3.11%,836.57K,9,-0.28%,797.65K,10,-4.65%,741.74K,10,-7.01%,735.34K,10,-0.86%,843.85K,10,+14.76%,726.76K,10,-13.88%,722.66K,10,-0.56%
Telangana,380,Particulate matter pollution,773.13K,9,780.52K,9,+0.96%,784.09K,9,+0.46%,827.42K,9,+5.53%,847.99K,8,+2.49%,848.30K,8,+0.04%,823.43K,7,-2.93%,800.06K,9,-2.84%,917.65K,8,+14.70%,827.12K,7,-9.86%,804.61K,7,-2.72%
Gujarat,380,Particulate matter pollution,749.58K,10,767.98K,10,+2.46%,779.25K,10,+1.47%,808.81K,10,+3.79%,817.10K,10,+1.02%,799.38K,9,-2.17%,779.80K,9,-2.45%,815.17K,7,+4.54%,1.20M,3,+47.22%,802.41K,8,-33.13%,801.81K,8,-0.07%
Rajasthan,380,Particulate matter pollution,564.99K,11,604.37K,11,+6.97%,637.88K,11,+5.54%,686.47K,11,+7.62%,696.72K,11,+1.49%,690.66K,11,-0.87%,661.98K,11,-4.15%,628.72K,11,-5.02%,728.73K,11,+15.91%,699.78K,11,-3.97%,707.77K,11,+1.14%
Punjab,380,Particulate matter pollution,532.83K,12,543.92K,12,+2.08%,555.92K,12,+2.20%,607.70K,12,+9.31%,623.85K,12,+2.66%,629.64K,12,+0.93%,605.27K,12,-3.87%,616.72K,12,+1.89%,718.24K,12,+16.46%,643.60K,12,-10.39%,639.93K,12,-0.57%
Odisha,380,Particulate matter pollution,444.48K,13,441.89K,14,-0.58%,447.12K,14,+1.18%,493.58K,14,+10.39%,517.39K,14,+4.82%,521.92K,14,+0.88%,511.82K,14,-1.94%,499.18K,14,-2.47%,563.40K,14,+12.86%,522.16K,14,-7.32%,541.26K,14,+3.66%
Chhattisgarh,380,Particulate matter pollution,431.94K,14,447.92K,13,+3.70%,466.69K,13,+4.19%,515.22K,13,+10.40%,537.37K,13,+4.30%,545.32K,13,+1.48%,540.24K,13,-0.93%,524.77K,13,-2.86%,695.02K,13,+32.44%,561.22K,13,-19.25%,563.23K,13,+0.36%
Kerala,380,Particulate matter pollution,391.32K,15,376.98K,15,-3.66%,370.11K,15,-1.82%,376.46K,16,+1.72%,373.48K,15,-0.79%,347.48K,17,-6.96%,310.91K,18,-10.52%,268.07K,18,-13.78%,292.58K,18,+9.14%,303.44K,18,+3.71%,295.98K,18,-2.46%
Haryana,380,Particulate matter pollution,342.64K,16,354.43K,16,+3.44%,355.21K,16,+0.22%,378.46K,15,+6.54%,373.02K,16,-1.44%,372.99K,15,-0.01%,344.36K,16,-7.68%,341.10K,16,-0.95%,410.23K,15,+20.27%,330.42K,17,-19.45%,334.66K,17,+1.28%
Assam,380,Particulate matter pollution,324.55K,17,329.31K,17,+1.47%,337.48K,17,+2.48%,356.73K,17,+5.70%,367.85K,17,+3.12%,372.15K,16,+1.17%,361.17K,15,-2.95%,345.22K,15,-4.42%,389.43K,16,+12.81%,360.13K,15,-7.52%,389.50K,15,+8.15%
Jharkhand,380,Particulate matter pollution,295.34K,18,298.44K,18,+1.05%,296.86K,18,-0.53%,334.09K,18,+12.54%,340.12K,18,+1.81%,342.39K,18,+0.67%,330.04K,17,-3.61%,310.29K,17,-5.99%,370.44K,17,+19.39%,341.13K,16,-7.91%,346.24K,16,+1.50%
Uttarakhand,380,Particulate matter pollution,203.22K,19,212.68K,19,+4.66%,219.08K,19,+3.01%,232.26K,19,+6.02%,229.56K,19,-1.16%,222.18K,19,-3.21%,199.17K,19,-10.36%,189.87K,19,-4.67%,218.44K,19,+15.05%,206.10K,19,-5.65%,204.73K,19,-0.66%
Delhi,380,Particulate matter pollution,170.95K,20,171.37K,20,+0.24%,166.62K,20,-2.77%,167.38K,20,+0.46%,152.40K,20,-8.95%,144.98K,20,-4.87%,128.26K,20,-11.53%,155.04K,20,+20.88%,194.07K,20,+25.17%,139.52K,20,-28.10%,142.26K,20,+1.96%
Jammu & Kashmir and Ladakh,380,Particulate matter pollution,94.77K,21,97.75K,21,+3.14%,102.48K,21,+4.84%,110.91K,21,+8.22%,112.61K,21,+1.54%,112.83K,21,+0.19%,107.04K,21,-5.13%,99.14K,21,-7.38%,111.95K,21,+12.92%,109.16K,21,-2.49%,110.11K,21,+0.87%
Himachal Pradesh,380,Particulate matter pollution,63.02K,22,58.00K,22,-7.96%,55.40K,22,-4.49%,56.23K,22,+1.49%,57.73K,23,+2.67%,58.97K,22,+2.15%,57.50K,22,-2.49%,55.10K,23,-4.17%,67.27K,22,+22.08%,67.25K,22,-0.04%,68.26K,22,+1.51%
Tripura,380,Particulate matter pollution,49.49K,23,42.59K,23,-13.94%,45.33K,23,+6.44%,55.83K,23,+23.14%,58.24K,22,+4.33%,56.57K,23,-2.87%,55.60K,23,-1.71%,55.56K,22,-0.08%,62.02K,23,+11.63%,59.73K,23,-3.69%,63.44K,23,+6.22%
Other Union Territories,380,Particulate matter pollution,29.59K,24,30.59K,24,+3.38%,31.34K,24,+2.47%,33.25K,24,+6.07%,33.83K,24,+1.75%,33.88K,24,+0.14%,32.99K,24,-2.61%,35.23K,24,+6.78%,45.95K,24,+30.44%,36.42K,24,-20.74%,35.84K,24,-1.59%
Manipur,380,Particulate matter pollution,22.86K,25,23.87K,25,+4.43%,24.87K,25,+4.19%,26.72K,25,+7.46%,27.46K,25,+2.74%,27.81K,25,+1.28%,26.92K,25,-3.19%,26.22K,25,-2.60%,37.60K,25,+43.38%,28.23K,25,-24.92%,30.26K,25,+7.20%
Goa,380,Particulate matter pollution,19.93K,26,20.43K,26,+2.49%,20.66K,26,+1.15%,20.93K,26,+1.27%,20.82K,26,-0.53%,20.55K,26,-1.28%,19.65K,26,-4.36%,19.73K,26,+0.37%,24.69K,26,+25.19%,20.30K,26,-17.80%,20.66K,26,+1.79%
Meghalaya,380,Particulate matter pollution,11.81K,27,11.81K,27,-0.05%,11.91K,27,+0.88%,13.26K,27,+11.32%,14.05K,27,+5.96%,14.52K,27,+3.37%,14.32K,27,-1.39%,14.28K,27,-0.29%,21.57K,27,+51.07%,15.09K,27,-30.05%,16.05K,27,+6.38%
Nagaland,380,Particulate matter pollution,10.54K,28,10.65K,28,+1.10%,10.69K,28,+0.40%,11.03K,28,+3.14%,11.14K,28,+1.01%,11.09K,28,-0.47%,10.60K,28,-4.46%,10.48K,28,-1.06%,15.26K,28,+45.58%,10.67K,28,-30.06%,11.15K,28,+4.44%
Arunachal Pradesh,380,Particulate matter pollution,5.42K,29,5.50K,29,+1.46%,5.63K,29,+2.35%,5.94K,29,+5.39%,6.07K,29,+2.21%,6.04K,29,-0.47%,5.85K,29,-3.15%,5.79K,29,-0.96%,6.95K,29,+19.95%,6.09K,29,-12.26%,6.39K,29,+4.79%
Sikkim,380,Particulate matter pollution,4.24K,30,4.29K,30,+1.15%,4.21K,30,-2.01%,4.21K,30,+0.15%,4.01K,30,-4.75%,3.72K,30,-7.29%,3.32K,30,-10.67%,3.12K,30,-6.11%,3.81K,30,+22.27%,3.58K,30,-6.24%,3.81K,30,+6.64%
Mizoram,380,Particulate matter pollution,1.92K,31,1.87K,31,-2.51%,1.96K,31,+4.86%,2.33K,31,+18.92%,2.45K,31,+5.04%,2.46K,31,+0.46%,2.38K,31,-3.17%,2.45K,31,+2.66%,3.21K,31,+31.31%,2.45K,31,-23.75%,2.61K,31,+6.63%
