REI ID,REI Name,Year,State,Sex,20-29,30-39,40-49,50-59,60-69
99,Smoking,2015,Mizoram,Female,0.0,6.67,21.15,23.34,48.84
99,Smoking,2015,Mizoram,Male,0.0,11.01,33.4,23.55,32.04
99,Smoking,2015,Nagaland,Female,0.0,11.42,43.82,19.73,25.03
99,Smoking,2015,Nagaland,Male,0.0,12.87,37.39,22.28,27.45
99,Smoking,2015,Odisha,Female,0.0,4.86,16.93,24.07,54.14
99,Smoking,2015,Odisha,Male,0.0,7.84,28.81,22.82,40.52
99,Smoking,2015,Punjab,Female,0.0,6.98,20.16,22.75,50.11
99,Smoking,2015,Punjab,Male,0.0,12.23,40.49,15.14,32.14
99,Smoking,2015,Rajasthan,Female,0.0,3.39,14.07,20.5,62.04
99,Smoking,2015,Rajasthan,Male,0.0,9.18,31.81,23.54,35.46
99,Smoking,2015,Sikkim,Female,0.0,8.2,27.83,19.03,44.93
99,Smoking,2015,Sikkim,Male,0.0,14.51,34.88,19.9,30.71
99,Smoking,2015,Tamil Nadu,Female,0.0,4.45,19.91,28.2,47.43
99,Smoking,2015,Tamil Nadu,Male,0.0,8.69,33.73,23.22,34.36
99,Smoking,2015,Telangana,Female,0.0,3.55,19.5,17.04,59.91
99,Smoking,2015,Telangana,Male,0.0,9.66,38.4,16.82,35.13
99,Smoking,2015,Tripura,Female,0.0,7.2,25.85,17.62,49.33
99,Smoking,2015,Tripura,Male,0.0,9.88,33.16,22.92,34.04
99,Smoking,2015,Uttar Pradesh,Female,0.0,2.47,12.6,30.8,54.14
99,Smoking,2015,Uttar Pradesh,Male,0.0,6.76,31.5,24.96,36.78
99,Smoking,2015,Uttarakhand,Female,0.0,2.65,24.53,28.72,44.1
99,Smoking,2015,Uttarakhand,Male,0.0,7.39,36.61,20.33,35.68
99,Smoking,2015,West Bengal,Female,0.0,2.25,11.85,20.1,65.81
99,Smoking,2015,West Bengal,Male,0.0,7.26,28.06,25.73,38.94
99,Smoking,2016,Andhra Pradesh,Female,0.0,2.2,19.53,22.57,55.71
99,Smoking,2016,Andhra Pradesh,Male,0.0,7.22,33.87,20.8,38.12
99,Smoking,2016,Arunachal Pradesh,Female,0.0,8.29,24.62,20.13,46.97
99,Smoking,2016,Arunachal Pradesh,Male,0.0,14.49,40.41,18.99,26.11
99,Smoking,2016,Assam,Female,0.0,2.63,9.8,49.95,37.62
99,Smoking,2016,Assam,Male,0.0,7.63,30.16,29.12,33.09
99,Smoking,2016,Bihar,Female,0.0,2.45,9.92,16.53,71.1
99,Smoking,2016,Bihar,Male,0.0,7.04,24.94,19.85,48.17
99,Smoking,2016,Chhattisgarh,Female,0.0,3.74,11.84,19.31,65.11
99,Smoking,2016,Chhattisgarh,Male,0.0,6.7,25.6,24.4,43.3
99,Smoking,2016,Delhi,Female,0.0,4.37,19.11,25.42,51.11
99,Smoking,2016,Delhi,Male,0.0,8.5,35.59,20.5,35.4
99,Smoking,2016,Goa,Female,0.0,6.11,19.28,19.63,54.98
99,Smoking,2016,Goa,Male,0.0,8.47,32.22,22.16,37.14
99,Smoking,2016,Gujarat,Female,0.0,5.87,17.71,33.91,42.51
99,Smoking,2016,Gujarat,Male,0.0,7.49,27.34,26.56,38.61
99,Smoking,2016,Haryana,Female,0.0,2.87,13.82,21.15,62.16
99,Smoking,2016,Haryana,Male,0.0,8.48,30.9,22.95,37.67
99,Smoking,2016,Himachal Pradesh,Female,0.0,3.98,12.89,16.53,66.6
99,Smoking,2016,Himachal Pradesh,Male,0.0,5.97,28.27,20.75,45.02
99,Smoking,2016,Jharkhand,Female,0.0,3.19,12.27,22.79,61.75
99,Smoking,2016,Jharkhand,Male,0.0,8.26,24.45,24.89,42.4
99,Smoking,2016,Karnataka,Female,0.0,2.33,14.59,31.43,51.65
99,Smoking,2016,Karnataka,Male,0.0,8.92,31.49,21.11,38.49
99,Smoking,2016,Kerala,Female,0.0,2.61,7.9,21.74,67.75
99,Smoking,2016,Kerala,Male,0.0,4.91,24.65,27.2,43.25
99,Smoking,2016,Madhya Pradesh,Female,0.0,3.99,11.34,24.44,60.23
99,Smoking,2016,Madhya Pradesh,Male,0.0,9.16,30.11,23.26,37.47
99,Smoking,2016,Maharashtra,Female,0.0,8.32,26.49,27.79,37.41
99,Smoking,2016,Maharashtra,Male,0.0,6.43,22.84,25.87,44.85
99,Smoking,2016,Manipur,Female,0.0,3.12,16.84,23.82,56.22
99,Smoking,2016,Manipur,Male,0.0,7.63,25.79,25.67,40.91
99,Smoking,2016,Meghalaya,Female,0.0,7.71,32.19,20.07,40.03
99,Smoking,2016,Meghalaya,Male,0.0,12.43,31.64,21.3,34.63
99,Smoking,2016,Mizoram,Female,0.0,6.44,20.5,23.51,49.55
99,Smoking,2016,Mizoram,Male,0.0,10.64,32.43,23.67,33.26
99,Smoking,2016,Nagaland,Female,0.0,11.27,43.27,19.89,25.57
99,Smoking,2016,Nagaland,Male,0.0,12.54,36.87,22.53,28.07
99,Smoking,2016,Odisha,Female,0.0,4.64,16.31,25.16,53.89
99,Smoking,2016,Odisha,Male,0.0,7.11,27.53,23.03,42.33
99,Smoking,2016,Punjab,Female,0.0,6.59,18.97,22.92,51.52
99,Smoking,2016,Punjab,Male,0.0,11.13,38.68,15.75,34.45
99,Smoking,2016,Rajasthan,Female,0.0,3.15,13.31,21.47,62.06
99,Smoking,2016,Rajasthan,Male,0.0,8.32,29.81,24.43,37.44
99,Smoking,2016,Sikkim,Female,0.0,7.89,25.96,19.43,46.73
99,Smoking,2016,Sikkim,Male,0.0,13.68,33.06,20.51,32.76
99,Smoking,2016,Tamil Nadu,Female,0.0,4.26,19.31,28.59,47.84
99,Smoking,2016,Tamil Nadu,Male,0.0,8.3,32.66,23.64,35.4
99,Smoking,2016,Telangana,Female,0.0,3.4,19.06,16.97,60.58
99,Smoking,2016,Telangana,Male,0.0,9.65,38.53,16.78,35.05
99,Smoking,2016,Tripura,Female,0.0,7.3,25.71,17.71,49.28
99,Smoking,2016,Tripura,Male,0.0,9.47,32.01,23.29,35.23
99,Smoking,2016,Uttar Pradesh,Female,0.0,2.35,12.24,32.06,53.35
99,Smoking,2016,Uttar Pradesh,Male,0.0,6.24,29.63,25.88,38.25
99,Smoking,2016,Uttarakhand,Female,0.0,2.41,23.8,29.41,44.39
99,Smoking,2016,Uttarakhand,Male,0.0,7.03,36.28,20.12,36.57
99,Smoking,2016,West Bengal,Female,0.0,2.13,11.29,21.42,65.16
99,Smoking,2016,West Bengal,Male,0.0,7.17,26.55,25.41,40.87
99,Smoking,2017,Andhra Pradesh,Female,0.0,2.03,18.09,22.23,57.65
99,Smoking,2017,Andhra Pradesh,Male,0.0,6.91,33.0,20.82,39.26
99,Smoking,2017,Arunachal Pradesh,Female,0.0,8.37,24.69,20.05,46.89
99,Smoking,2017,Arunachal Pradesh,Male,0.0,14.09,39.99,19.07,26.85
99,Smoking,2017,Assam,Female,0.0,2.58,9.22,49.05,39.15
99,Smoking,2017,Assam,Male,0.0,6.92,28.34,29.41,35.33
99,Smoking,2017,Bihar,Female,0.0,2.23,8.72,16.59,72.46
99,Smoking,2017,Bihar,Male,0.0,6.42,24.19,19.36,50.03
99,Smoking,2017,Chhattisgarh,Female,0.0,3.59,11.02,19.72,65.67
99,Smoking,2017,Chhattisgarh,Male,0.0,6.16,24.31,24.56,44.97
99,Smoking,2017,Delhi,Female,0.0,4.19,18.33,25.75,51.74
99,Smoking,2017,Delhi,Male,0.0,7.96,34.74,20.48,36.83
99,Smoking,2017,Goa,Female,0.0,5.81,18.9,19.84,55.45
99,Smoking,2017,Goa,Male,0.0,7.96,31.36,22.12,38.57
99,Smoking,2017,Gujarat,Female,0.0,5.7,16.51,34.68,43.11
99,Smoking,2017,Gujarat,Male,0.0,6.67,25.64,26.46,41.23
99,Smoking,2017,Haryana,Female,0.0,2.67,12.75,20.75,63.83
